"","song_popularity","danceability_scaled","energy_scaled","tempo_scaled","loudness_scaled","song_duration_ms_log_scaled","acousticness_log_scaled","liveness_log_scaled","speechiness_log_scaled","instrumentalness_log_scaled","es_instrumental","audio_mode","key_1","key_2","key_3","key_4","key_5","key_6","key_7","key_8","key_9","key_10","key_11","time_signature_1","time_signature_3","time_signature_4","time_signature_5","valence_binned_valence_media","valence_binned_valence_alta"
"1",52,0.381235863779311,0.046968943503883,0.384688928362125,-0.443835173862565,-0.934366767997808,0.0558638026931371,0.797033880071552,-0.712398675559002,-0.351704863422186,0,"1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"2",55,-1.54590426937687,-1.58807352831463,-1.16354072301596,-1.09976653402169,0.0102362384892157,1.96952233555803,2.19982284235314,0.731487124964648,0.209806958425258,0,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3",91,0.65382476419285,0.279219294614467,-1.61933881125896,0.752321254523614,0.253837574225682,-0.0560725576664023,0.398099514867719,0.300036802305285,-0.35607151612491,0,"0",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"4",37,0.704538978223275,0.794815074079964,-0.726568097761928,0.360599046236585,-0.147901451614846,-0.912457841377568,-0.954500380427208,0.47254609630932,-0.35692826347589,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"5",81,-0.58233420279878,1.21286570607902,1.10345411931473,1.182612226788,0.752219437383897,-0.967425212210636,-0.290723375099396,-0.471580667759996,-0.292050169408481,0,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"6",60,-0.214656151078193,0.0283889154150362,0.094749062843283,-0.0620831222499549,-0.26469792120297,-0.142788177663155,-0.50574563782268,-0.203606011946107,-0.356951362752276,0,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"7",25,-0.18929904406298,0.869135186435352,-0.853665974958158,0.426979299884688,-0.723248073844231,-0.969981988177692,2.1160572451576,-0.722449707711224,-0.355381182091575,0,"0",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"8",35,-0.575994926044977,1.41260100803412,1.05276751362436,0.652357315235363,0.215441378978837,-0.969792550078928,-0.690613971814288,-0.439921229142451,-0.112615458067172,0,"1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"9",85,-0.259031088354816,0.125934062881482,-0.31438406557808,0.125775619299618,-1.41819347777239,-0.51073354567546,2.49849782163506,1.84758018355924,-0.356994171962064,0,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"10",33,-0.0625135089869153,-0.789132320494221,-1.42220882496934,0.374767163616022,-1.97665761359287,2.05787051102577,-0.833281407644974,-0.675619721077309,-0.356994171962064,0,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
